country,happiness_rank,happiness_score,economy,health,freedom,generosity,corruption
Taiwan,25,6.446,1.368,0.914,0.351,0.242,0.097
Tajikistan,74,5.467,0.493,0.718,0.389,0.23,0.144
Tanzania,153,3.231,0.476,0.499,0.417,0.276,0.147
Thailand,52,6.008,1.05,0.828,0.557,0.359,0.028
Togo,139,4.085,0.275,0.41,0.293,0.177,0.085
Trinidad and Tobago,39,6.192,1.231,0.713,0.489,0.185,0.016
Tunisia,124,4.461,0.921,0.815,0.167,0.059,0.055
Turkey,79,5.373,1.183,0.808,0.195,0.083,0.106
Turkmenistan,87,5.247,1.052,0.657,0.394,0.244,0.028
Uganda,136,4.189,0.332,0.443,0.356,0.252,0.06
Ukraine,133,4.332,0.82,0.739,0.178,0.187,0.01
United Arab Emirates,21,6.825,1.503,0.825,0.598,0.262,0.182
United Kingdom,15,7.054,1.333,0.996,0.45,0.348,0.278
United States,19,6.892,1.433,0.874,0.454,0.28,0.128
Uruguay,33,6.293,1.124,0.891,0.523,0.127,0.15
Uzbekistan,41,6.174,0.745,0.756,0.631,0.322,0.24
Venezuela,108,4.707,0.96,0.805,0.154,0.064,0.047
Vietnam,94,5.175,0.741,0.851,0.543,0.147,0.073
Yemen,151,3.38,0.287,0.463,0.143,0.108,0.077
Zambia,138,4.107,0.578,0.426,0.431,0.247,0.087
Zimbabwe,146,3.663,0.366,0.433,0.361,0.151,0.089
