country,happiness_rank,happiness_score,economy,health,freedom,generosity,corruption
China,79,5.2730,1.0812,0.7414,0.4728,0.0288,0.0228
Colombia,36,6.3570,1.0706,0.5950,0.4775,0.1490,0.0467
Congo (Brazzaville),124,4.2910,0.8090,0.2900,0.4350,0.1209,0.0796
Congo (Kinshasa),126,4.2800,0.0921,0.1914,0.2360,0.2465,0.0602
Costa Rica,12,7.0790,1.1097,0.7595,0.5801,0.2146,0.1001
Croatia,77,5.2930,1.2226,0.7013,0.2558,0.2480,0.0431
Cyprus,65,5.6210,1.3559,0.8447,0.3551,0.2713,0.0412
Czech Republic,23,6.6090,1.3527,0.7544,0.4909,0.0881,0.0369
Denmark,2,7.5220,1.4824,0.7926,0.6260,0.3553,0.4008
Dominican Republic,86,5.2300,1.0794,0.5749,0.5526,0.1870,0.1139
Ecuador,44,6.0080,1.0008,0.6856,0.4552,0.1501,0.1401
Egypt,104,4.7350,0.9897,0.5202,0.2821,0.1286,0.1144
El Salvador,45,6.0030,0.9098,0.5960,0.4325,0.0783,0.0900
Estonia,66,5.6110,1.3209,0.6952,0.4791,0.0989,0.1832
Ethiopia,119,4.4600,0.3392,0.3534,0.4088,0.3127,0.1655
Finland,5,7.4690,1.4436,0.8092,0.6180,0.2455,0.3826
France,31,6.4420,1.4309,0.8445,0.4702,0.1298,0.1725
Gabon,118,4.4650,1.1982,0.3566,0.3123,0.0438,0.0760
Georgia,125,4.2860,0.9506,0.6495,0.3094,0.0540,0.2517
Germany,16,6.9510,1.4879,0.7990,0.5625,0.3363,0.2767
Ghana,131,4.1200,0.6672,0.2956,0.4230,0.2569,0.0253
Greece,87,5.2270,1.2895,0.8102,0.0957,0.0000,0.0433
Guatemala,29,6.4540,0.8720,0.5402,0.5313,0.2835,0.0772
Guinea,149,3.5070,0.2445,0.1941,0.3486,0.2648,0.1109
Haiti,145,3.6030,0.3686,0.2773,0.0304,0.4892,0.0999
Honduras,91,5.1810,0.7306,0.5826,0.3481,0.2362,0.0733
Hong Kong,71,5.4720,1.5517,0.9431,0.4910,0.3745,0.2939
Hungary,75,5.3240,1.2860,0.6878,0.1759,0.0784,0.0366
Iceland,3,7.5040,1.4806,0.8336,0.6272,0.4755,0.1535
India,122,4.3150,0.7922,0.4554,0.4700,0.2315,0.0922
Indonesia,81,5.2620,0.9955,0.4923,0.4433,0.6117,0.0153
Iran,108,4.6920,1.1569,0.6393,0.2493,0.3872,0.0488
Iraq,117,4.4970,1.1027,0.5012,0.2886,0.1996,0.1072
Ireland,15,6.9770,1.5357,0.8098,0.5731,0.4279,0.2984
Israel,11,7.2130,1.3754,0.8384,0.4060,0.3301,0.0852
Italy,48,5.9640,1.3951,0.8531,0.2565,0.1728,0.0280
Ivory Coast,128,4.1800,0.6030,0.0486,0.4477,0.2012,0.1301
Jamaica,76,5.3110,0.9256,0.6410,0.4743,0.2338,0.0553
Japan,51,5.9200,1.4169,0.9135,0.5056,0.1206,0.1638
Jordan,74,5.3360,0.9910,0.6046,0.4184,0.1722,0.1198
Kazakhstan,60,5.8190,1.2846,0.6060,0.4375,0.2020,0.1193
Kenya,112,4.5530,0.5605,0.3100,0.4528,0.4449,0.0646
Kosovo,78,5.2790,0.9515,0.5415,0.2603,0.3199,0.0575
Kuwait,39,6.1050,1.6330,0.6321,0.4963,0.2283,0.2152
Kyrgyzstan,98,5.0040,0.5962,0.5535,0.4549,0.4286,0.0394
Latvia,54,5.8500,1.2607,0.6386,0.3257,0.1531,0.0738
Lebanon,88,5.2250,1.0750,0.7351,0.2885,0.2645,0.0375
Liberia,148,3.5330,0.1190,0.2299,0.3329,0.2665,0.0389
Libya,68,5.5250,1.1018,0.5202,0.4657,0.1521,0.0926
Lithuania,52,5.9020,1.3146,0.6289,0.2342,0.0102,0.0119
Luxembourg,18,6.8630,1.7419,0.8451,0.5966,0.2832,0.3188
Madagascar,144,3.6440,0.3058,0.3752,0.1892,0.2087,0.0672
Malawi,136,3.9700,0.2334,0.3151,0.4669,0.2872,0.0727
Malaysia,42,6.0840,1.2912,0.6188,0.4023,0.4166,0.0656
Mali,127,4.1900,0.4762,0.1694,0.3066,0.1834,0.1050
Malta,27,6.5270,1.3433,0.8219,0.5888,0.5747,0.1531
Mauritania,123,4.2920,0.6485,0.2853,0.0961,0.2019,0.1370
Mauritius,64,5.6290,1.1894,0.6380,0.4912,0.3609,0.0422
Mexico,25,6.5780,1.1532,0.7100,0.4127,0.1210,0.1328
Moldova,56,5.8380,0.7289,0.5895,0.2407,0.2088,0.0101
Mongolia,100,4.9550,1.0272,0.5578,0.3941,0.3385,0.0329
Montenegro,83,5.2370,1.1211,0.6675,0.1950,0.1979,0.0882
Morocco,84,5.2350,0.8781,0.5977,0.4082,0.0322,0.0878
Myanmar,114,4.5450,0.3671,0.3975,0.5145,0.8381,0.1888
Nepal,99,4.9620,0.4798,0.5041,0.4403,0.3941,0.0730
Netherlands,6,7.3770,1.5039,0.8107,0.5854,0.4705,0.2827
New Zealand,8,7.3140,1.4057,0.8168,0.6141,0.5000,0.3828
Nicaragua,43,6.0710,0.7373,0.6531,0.4476,0.3017,0.1307
Niger,135,4.0280,0.1619,0.2685,0.3637,0.2287,0.1386
Nigeria,95,5.0740,0.7838,0.0569,0.3950,0.2309,0.0261
North Cyprus,61,5.8100,1.3469,0.8346,0.4712,0.2668,0.1554
Norway,1,7.5370,1.6165,0.7967,0.6354,0.3620,0.3160
Pakistan,80,5.2690,0.7269,0.4020,0.2352,0.3154,0.1243
Palestinian Territories,103,4.7750,0.7162,0.5657,0.2547,0.1142,0.0893
Panama,30,6.4520,1.2337,0.7062,0.5500,0.2106,0.0710
Paraguay,70,5.4930,0.9325,0.5793,0.4735,0.2242,0.0911
Peru,63,5.7150,1.0352,0.6302,0.4500,0.1268,0.0470
Philippines,72,5.4300,0.8577,0.4680,0.5852,0.1935,0.0993
Poland,46,5.9730,1.2918,0.6995,0.5203,0.1585,0.0593
Portugal,89,5.1950,1.3152,0.7958,0.4985,0.0951,0.0159
Qatar,35,6.3750,1.8708,0.7101,0.6041,0.3305,0.4393
Romania,57,5.8250,1.2177,0.6852,0.4570,0.1335,0.0044
Russia,49,5.9630,1.2818,0.5473,0.3738,0.0523,0.0330
Rwanda,151,3.4710,0.3687,0.3264,0.5818,0.2528,0.4552
Saudi Arabia,37,6.3440,1.5306,0.5901,0.4498,0.1476,0.2734
Senegal,115,4.5350,0.4793,0.4094,0.3779,0.1835,0.1155
Serbia,73,5.3950,1.0693,0.6508,0.2087,0.2201,0.0409
Sierra Leone,106,4.7090,0.3684,0.0056,0.3187,0.2930,0.0711
Singapore,26,6.5720,1.6923,0.9495,0.5498,0.3460,0.4643
Slovakia,40,6.0980,1.3254,0.7127,0.2958,0.1365,0.0242
Slovenia,62,5.7580,1.3412,0.7908,0.5726,0.2426,0.0451
Somalia,93,5.1510,0.0226,0.1140,0.6021,0.2916,0.2824
South Africa,101,4.8290,1.0547,0.1871,0.4792,0.1394,0.0725
South Korea,55,5.8380,1.4017,0.9002,0.2579,0.2067,0.0633
Spain,34,6.4030,1.3844,0.8890,0.4088,0.1901,0.0709
Sri Lanka,120,4.4400,1.0099,0.6251,0.5612,0.4909,0.0737
Sweden,9,7.2840,1.4944,0.8309,0.6129,0.3854,0.3844
Switzerland,4,7.4940,1.5650,0.8581,0.6201,0.2905,0.3670
Syria,152,3.4620,0.7772,0.5005,0.0815,0.4937,0.1513
Taiwan,33,6.4220,1.4336,0.7940,0.3615,0.2584,0.0638
Tajikistan,96,5.0410,0.5247,0.5292,0.4716,0.2490,0.1464
Tanzania,153,3.3490,0.5111,0.3645,0.3900,0.3543,0.0660
Thailand,32,6.4240,1.1279,0.6472,0.5802,0.5721,0.0316
Togo,150,3.4950,0.3054,0.2471,0.3804,0.1969,0.0957
Trinidad and Tobago,38,6.1680,1.3614,0.5200,0.5186,0.3253,0.0090
Tunisia,102,4.8050,1.0073,0.6132,0.2897,0.0497,0.0867
Turkey,69,5.5000,1.1983,0.6376,0.3007,0.0467,0.0997
Turkmenistan,59,5.8220,1.1308,0.4377,0.4183,0.2499,0.2593
Uganda,133,4.0810,0.3814,0.2176,0.4432,0.3258,0.0571
Ukraine,132,4.0960,0.8947,0.5759,0.1230,0.2701,0.0230
United Arab Emirates,21,6.6480,1.6263,0.7268,0.6083,0.3609,0.3245
United Kingdom,19,6.7140,1.4416,0.8053,0.5082,0.4928,0.2654
United States,14,6.9930,1.5463,0.7743,0.5057,0.3926,0.1356
Uruguay,28,6.4540,1.2176,0.7192,0.5794,0.1751,0.1781
Uzbekistan,47,5.9710,0.7864,0.4983,0.6582,0.4160,0.2465
Venezuela,82,5.2500,1.1284,0.6171,0.1540,0.0650,0.0645
Vietnam,94,5.0740,0.7885,0.6522,0.5711,0.2350,0.0876
Yemen,146,3.5930,0.5917,0.3101,0.2495,0.1041,0.0568
Zambia,116,4.5140,0.6364,0.2578,0.4616,0.2496,0.0782
Zimbabwe,138,3.8750,0.3758,0.1968,0.3364,0.1891,0.0954
