country,happiness_rank,happiness_score,economy,health,freedom,corruption,generosity
Estonia,72,5.5170,1.2796,0.6810,0.4151,0.1852,0.0842
Ethiopia,115,4.5080,0.2928,0.3458,0.3670,0.1717,0.2952
Finland,5,7.4130,1.4060,0.8109,0.5710,0.4100,0.2549
France,32,6.4780,1.3949,0.8380,0.4656,0.1781,0.1216
Gabon,134,4.1210,1.1585,0.3494,0.2810,0.0931,0.0624
Georgia,126,4.2520,0.8379,0.6404,0.3246,0.3188,0.0679
Germany,16,6.9940,1.4479,0.8149,0.5347,0.2855,0.3045
Ghana,124,4.2760,0.6311,0.2968,0.4097,0.0326,0.2120
Greece,99,5.0330,1.2489,0.8003,0.0582,0.0413,0.0000
Guatemala,39,6.3240,0.8345,0.5404,0.5038,0.0870,0.2881
Guinea,151,3.6070,0.2242,0.1883,0.3095,0.1192,0.2991
Haiti,136,4.0280,0.3410,0.2749,0.1207,0.1448,0.4796
Honduras,104,4.8710,0.6943,0.5838,0.2676,0.0691,0.2044
Hong Kong,75,5.4580,1.5107,0.9528,0.4808,0.3165,0.4010
Hungary,91,5.1450,1.2414,0.6761,0.1977,0.0447,0.0990
Iceland,3,7.5010,1.4267,0.8673,0.5662,0.1498,0.4768
India,118,4.4040,0.7404,0.4509,0.4029,0.0872,0.2503
Indonesia,79,5.3140,0.9510,0.4937,0.3924,0.0032,0.5652
Iran,105,4.8130,1.1176,0.6423,0.2254,0.0557,0.3854
Iraq,112,4.5750,1.0747,0.5108,0.2486,0.1364,0.1959
Ireland,19,6.9070,1.4834,0.8146,0.5401,0.2975,0.4496
Israel,11,7.2670,1.3377,0.8492,0.3643,0.0873,0.3229
Italy,50,5.9770,1.3550,0.8510,0.1883,0.0256,0.1668
Ivory Coast,139,3.9160,0.5551,0.0448,0.4066,0.1553,0.2034
Jamaica,73,5.5100,0.8933,0.5947,0.4360,0.0429,0.2225
Japan,53,5.9210,1.3801,0.9149,0.4676,0.1899,0.1022
Jordan,80,5.3030,0.9967,0.6071,0.3602,0.1330,0.1426
Kazakhstan,54,5.9190,1.2294,0.5739,0.4052,0.1113,0.1501
Kenya,122,4.3560,0.5227,0.3015,0.4058,0.0669,0.4133
Kosovo,77,5.4010,0.9015,0.5400,0.1440,0.0655,0.2799
Kuwait,41,6.2390,1.6171,0.6357,0.4317,0.2367,0.1597
Kyrgyzstan,85,5.1850,0.5604,0.5545,0.4021,0.0476,0.3843
Latvia,68,5.5600,1.2179,0.6395,0.2800,0.0889,0.1745
Lebanon,93,5.1290,1.1227,0.7617,0.2623,0.0306,0.2369
Liberia,150,3.6220,0.1071,0.2317,0.2575,0.0485,0.2406
Libya,67,5.6150,1.0669,0.5230,0.4067,0.1034,0.1709
Lithuania,60,5.8130,1.2692,0.6467,0.1893,0.0182,0.0203
Luxembourg,20,6.8710,1.6975,0.8454,0.5487,0.3533,0.2757
Madagascar,148,3.6950,0.2795,0.3711,0.1368,0.0751,0.2204
Malawi,132,4.1560,0.0871,0.2936,0.4143,0.0756,0.3097
Malaysia,47,6.0050,1.2514,0.6237,0.3903,0.0908,0.4147
Mali,135,4.0730,0.3129,0.1635,0.2754,0.1365,0.2106
Malta,30,6.4880,1.3078,0.8032,0.5499,0.1755,0.5624
Mauritania,130,4.2010,0.6139,0.2864,0.1268,0.1796,0.2269
Mauritius,66,5.6480,1.1437,0.6619,0.4615,0.0520,0.3695
Mexico,21,6.7780,1.1151,0.7114,0.3771,0.1836,0.1174
Moldova,55,5.8970,0.6918,0.5231,0.2520,0.0190,0.2000
Mongolia,101,4.9070,0.9885,0.5547,0.3597,0.0329,0.3454
Montenegro,88,5.1610,1.0784,0.6353,0.1511,0.1272,0.1719
Morocco,90,5.1510,0.8406,0.5947,0.2565,0.0840,0.0405
Myanmar,119,4.3950,0.3411,0.3988,0.4269,0.2024,0.8197
Nepal,107,4.7930,0.4463,0.5007,0.3701,0.0701,0.3816
Netherlands,7,7.3390,1.4647,0.8123,0.5521,0.2993,0.4742
New Zealand,8,7.3340,1.3607,0.8310,0.5815,0.4190,0.4940
Nicaragua,48,5.9920,0.6938,0.6521,0.4658,0.1629,0.2977
Niger,142,3.8560,0.1327,0.2616,0.3804,0.1718,0.2097
Nigeria,103,4.8750,0.7522,0.0511,0.2785,0.0305,0.2322
North Cyprus,62,5.7710,1.3114,0.8414,0.4360,0.1658,0.2632
Norway,4,7.4980,1.5774,0.7958,0.5961,0.3578,0.3790
Pakistan,92,5.1320,0.6882,0.4031,0.1462,0.1388,0.3119
Palestinian Territories,108,4.7540,0.6702,0.5684,0.1774,0.1061,0.1115
Panama,25,6.7010,1.1831,0.7084,0.4893,0.0842,0.2418
Paraguay,70,5.5380,0.8937,0.5830,0.4624,0.0740,0.2530
Peru,64,5.7430,0.9960,0.6299,0.3750,0.0529,0.1453
Philippines,82,5.2790,0.8122,0.4704,0.5485,0.1176,0.2167
Poland,57,5.8350,1.2459,0.6906,0.4519,0.0550,0.1444
Portugal,94,5.1230,1.2761,0.7936,0.4473,0.0152,0.1169
Qatar,36,6.3750,1.8243,0.7172,0.5668,0.4805,0.3239
Romania,71,5.5280,1.1697,0.6760,0.3671,0.0068,0.1289
Russia,56,5.8560,1.2323,0.5899,0.3268,0.0359,0.0274
Rwanda,152,3.5150,0.3285,0.3187,0.5432,0.5052,0.2355
Saudi Arabia,34,6.3790,1.4895,0.5927,0.3790,0.3001,0.1546
Senegal,128,4.2190,0.4431,0.4046,0.3106,0.1168,0.1910
Serbia,86,5.1770,1.0344,0.6458,0.1572,0.0434,0.2074
Sierra Leone,111,4.6350,0.3649,0.0000,0.3069,0.0820,0.2390
Singapore,22,6.7390,1.6456,0.9472,0.4877,0.4699,0.3271
Slovakia,45,6.0780,1.2797,0.7037,0.2339,0.0295,0.1384
Slovenia,63,5.7680,1.2995,0.7915,0.5316,0.0364,0.2574
Somalia,76,5.4400,0.0000,0.1147,0.5678,0.3118,0.2723
South Africa,116,4.4590,1.0242,0.1861,0.4248,0.0842,0.1366
South Korea,57,5.8350,1.3595,0.8865,0.2517,0.0772,0.1882
Spain,37,6.3610,1.3425,0.8790,0.3755,0.0614,0.1767
Sri Lanka,117,4.4150,0.9732,0.6201,0.5082,0.0796,0.4698
Sweden,10,7.2910,1.4518,0.8312,0.5822,0.4087,0.3825
Switzerland,2,7.5090,1.5273,0.8630,0.5856,0.4120,0.2808
Syria,156,3.0690,0.7472,0.6299,0.0691,0.1723,0.4840
Taiwan,34,6.3790,1.3973,0.7957,0.3238,0.0663,0.2550
Tajikistan,100,4.9960,0.4884,0.5312,0.4341,0.1351,0.2600
Tanzania,149,3.6660,0.4716,0.3570,0.3176,0.0510,0.3147
Thailand,33,6.4740,1.0893,0.6492,0.4955,0.0283,0.5870
Togo,155,3.3030,0.2812,0.2481,0.3468,0.1159,0.1752
Trinidad and Tobago,43,6.1680,1.3257,0.5261,0.4845,0.0124,0.3194
Tunisia,98,5.0450,0.9772,0.5958,0.2355,0.0817,0.0394
Turkey,78,5.3890,1.1649,0.6472,0.2389,0.1235,0.0471
Turkmenistan,65,5.6580,1.0802,0.4401,0.3741,0.2847,0.2257
Uganda,145,3.7390,0.3472,0.1963,0.4365,0.0644,0.2710
Ukraine,123,4.3240,0.8729,0.5863,0.1286,0.0183,0.2036
United Arab Emirates,28,6.5730,1.5735,0.7299,0.5622,0.3556,0.2659
United Kingdom,23,6.7250,1.4028,0.8099,0.5004,0.2740,0.5016
United States,13,7.1040,1.5080,0.7790,0.4816,0.1487,0.4108
Uruguay,29,6.5450,1.1816,0.7218,0.5439,0.2139,0.1806
Uzbekistan,49,5.9870,0.7359,0.5016,0.6085,0.2833,0.3433
Venezuela,44,6.0840,1.1337,0.6190,0.1985,0.0830,0.0425
Vietnam,96,5.0610,0.7404,0.6616,0.5595,0.1156,0.2508
Yemen,147,3.7240,0.5794,0.3105,0.2287,0.0589,0.0982
Zambia,106,4.7950,0.6120,0.2357,0.4266,0.1148,0.1787
Zimbabwe,131,4.1930,0.3504,0.1595,0.2543,0.0858,0.1850
